,Indicator,1. DOI ,2. Author-defined keywords (no own synopsis) ,5. To which energy sector (or research field) is justice applied?,6. To which country/region is the paper applied? ,7. At which scale is the paper subject discussed? ,8. What is the time-scale assessed in the paper?,9. Which energy-related examples are discussed in the paper?,12. Which justice definition is explicitly used in the paper?,17. Is a model applied in the paper?,19. Which groups of people are assessed with the model?,23. At which place of the model are justice indicators integrated?,25. Is a case study with a comparison of a techno-economic and a socially/just optimized energy system included?,Which justice dimension is addressed?
67,correlations between different capabilities to reveal possible conflicts,10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Recognition-Justice
68,"""affiliation (a measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. the more similar the level of capabilities",10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Recognition-Justice
69,"the higher the level of affiliation (even if the level of capabilities is low))""",10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Recognition-Justice
70,livelihood and cultural heritage protection,10.1109/GHTC46095.2019.9033126,"Agent-based modeling, electrification, energy justice",Electricity,Liberia,Country-level (including comparisons),Present (eg. status quo assessment),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);ELECTRIFICATION: Providing electricity access to people previously lacking access",Energy justice,Yes,energy poor,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.",Yes,"Distributional-Justice, Recognition-Justice"
71,local-participation,10.1109/GHTC46095.2019.9033126,"Agent-based modeling, electrification, energy justice",Electricity,Liberia,Country-level (including comparisons),Present (eg. status quo assessment),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);ELECTRIFICATION: Providing electricity access to people previously lacking access",Energy justice,Yes,energy poor,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.",Yes,Procedual-Justice
72,job factor,10.1109/GHTC46095.2019.9033126,"Agent-based modeling, electrification, energy justice",Electricity,Liberia,Country-level (including comparisons),Present (eg. status quo assessment),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);ELECTRIFICATION: Providing electricity access to people previously lacking access",Energy justice,Yes,energy poor,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.",Yes,Procedual-Justice
73,economic inflow factors,10.1109/GHTC46095.2019.9033126,"Agent-based modeling, electrification, energy justice",Electricity,Liberia,Country-level (including comparisons),Present (eg. status quo assessment),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);ELECTRIFICATION: Providing electricity access to people previously lacking access",Energy justice,Yes,energy poor,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.",Yes,Procedual-Justice
74,community infrastructure,10.1007/s10098-022-02278-1,"Community social deprivation analysis, Life cycle assessment (LCA), Social life cycle assessment (SLCA), Techno-economic analysis, Waste-to-energy, Water-energy nexus",Electricity;Heating and Cooling;Industry,"Mexico, Santiago Papasquiaro, Guatemala, Nicagagua, Panama, Colombia, Costa Rica",Continent/Union;City/Municipality;Community,Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",,Yes,Average consumer,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Distributional-Justice, Cosmopolitan-Justice"
75,labour rights,10.1007/s10098-022-02278-1,"Community social deprivation analysis, Life cycle assessment (LCA), Social life cycle assessment (SLCA), Techno-economic analysis, Waste-to-energy, Water-energy nexus",Electricity;Heating and Cooling;Industry,"Mexico, Santiago Papasquiaro, Guatemala, Nicagagua, Panama, Colombia, Costa Rica",Continent/Union;City/Municipality;Community,Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",,Yes,Average consumer,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Procedual-Justice, Cosmopolitan-Justice"
76,human rights,10.1007/s10098-022-02278-1,"Community social deprivation analysis, Life cycle assessment (LCA), Social life cycle assessment (SLCA), Techno-economic analysis, Waste-to-energy, Water-energy nexus",Electricity;Heating and Cooling;Industry,"Mexico, Santiago Papasquiaro, Guatemala, Nicagagua, Panama, Colombia, Costa Rica",Continent/Union;City/Municipality;Community,Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",,Yes,Average consumer,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Procedual-Justice, Cosmopolitan-Justice"
77,governance,10.1007/s10098-022-02278-1,"Community social deprivation analysis, Life cycle assessment (LCA), Social life cycle assessment (SLCA), Techno-economic analysis, Waste-to-energy, Water-energy nexus",Electricity;Heating and Cooling;Industry,"Mexico, Santiago Papasquiaro, Guatemala, Nicagagua, Panama, Colombia, Costa Rica",Continent/Union;City/Municipality;Community,Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",,Yes,Average consumer,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Procedual-Justice, Cosmopolitan-Justice"
78,medium-risk hour (mrh) in terms of labour-hours for a given production rate,10.1007/s10098-022-02278-1,"Community social deprivation analysis, Life cycle assessment (LCA), Social life cycle assessment (SLCA), Techno-economic analysis, Waste-to-energy, Water-energy nexus",Electricity;Heating and Cooling;Industry,"Mexico, Santiago Papasquiaro, Guatemala, Nicagagua, Panama, Colombia, Costa Rica",Continent/Union;City/Municipality;Community,Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",,Yes,Average consumer,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Procedual-Justice, Cosmopolitan-Justice"
79,social impact theme score,10.1007/s10098-022-02278-1,"Community social deprivation analysis, Life cycle assessment (LCA), Social life cycle assessment (SLCA), Techno-economic analysis, Waste-to-energy, Water-energy nexus",Electricity;Heating and Cooling;Industry,"Mexico, Santiago Papasquiaro, Guatemala, Nicagagua, Panama, Colombia, Costa Rica",Continent/Union;City/Municipality;Community,Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",,Yes,Average consumer,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Procedual-Justice, Cosmopolitan-Justice"
80,social impact savings,10.1007/s10098-022-02278-1,"Community social deprivation analysis, Life cycle assessment (LCA), Social life cycle assessment (SLCA), Techno-economic analysis, Waste-to-energy, Water-energy nexus",Electricity;Heating and Cooling;Industry,"Mexico, Santiago Papasquiaro, Guatemala, Nicagagua, Panama, Colombia, Costa Rica",Continent/Union;City/Municipality;Community,Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",,Yes,Average consumer,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Procedual-Justice, Cosmopolitan-Justice"
81,health and safety,10.1007/s10098-022-02278-1,"Community social deprivation analysis, Life cycle assessment (LCA), Social life cycle assessment (SLCA), Techno-economic analysis, Waste-to-energy, Water-energy nexus",Electricity;Heating and Cooling;Industry,"Mexico, Santiago Papasquiaro, Guatemala, Nicagagua, Panama, Colombia, Costa Rica",Continent/Union;City/Municipality;Community,Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",,Yes,Average consumer,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Cosmopolitan-Justice
82,fuel poverty,10.1177/1420326X17713071,"Energy policy, Pverty index, Adaptive comfort, Social housing, Thermal comfort",Electricity;Heating and Cooling;Buildings,Concepcion (Central-south of Chile),State/Region;City/Municipality;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),"DEMAND ASSESSMENT: Estimation of demand needs or profiles, possible from a household-scale up to county-scale;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",social justice,Yes,Building conditions;Number of household members;Income,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
83,fuel poverty potential risk index,10.1177/1420326X17713071,"Energy policy, Pverty index, Adaptive comfort, Social housing, Thermal comfort",Electricity;Heating and Cooling;Buildings,Concepcion (Central-south of Chile),State/Region;City/Municipality;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),"DEMAND ASSESSMENT: Estimation of demand needs or profiles, possible from a household-scale up to county-scale;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",social justice,Yes,Building conditions;Number of household members;Income,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
84,household energy vulnerability index (hevi),10.3390/su12155904,"energy vulnerability, energy poverty, composite indicator, goal programming, Spanish provinces",Electricity;Heating and Cooling;Buildings;energy vulnerability,Spain,State/Region,Present (eg. status quo assessment),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective","""Justice"" in general (eg. not placed in theoretical context)","No, but relevat content",Houseownership and rent;Building conditions;Age;Occupation;Income;Average consumer,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
85,deviation variables in relation to aspiration levels for each indicator,10.3390/su12155904,"energy vulnerability, energy poverty, composite indicator, goal programming, Spanish provinces",Electricity;Heating and Cooling;Buildings;energy vulnerability,Spain,State/Region,Present (eg. status quo assessment),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective","""Justice"" in general (eg. not placed in theoretical context)","No, but relevat content",Houseownership and rent;Building conditions;Age;Occupation;Income;Average consumer,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
86,energy poverty,10.1016/j.enpol.2021.112205,"Clean heating, Cost-benefit analysis, Heating poverty, Air pollution, Health",Heating and Cooling;Buildings,cities in Beijing-Tianjin-Hebei (China),State/Region;City/Municipality;Households/Prosumers,Present (eg. status quo assessment),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,Yes,City/Rural households;Income,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
87,heating poverty,10.1016/j.enpol.2021.112205,"Clean heating, Cost-benefit analysis, Heating poverty, Air pollution, Health",Heating and Cooling;Buildings,cities in Beijing-Tianjin-Hebei (China),State/Region;City/Municipality;Households/Prosumers,Present (eg. status quo assessment),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,Yes,City/Rural households;Income,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
88, health economic benefits,10.1016/j.enpol.2021.112205,"Clean heating, Cost-benefit analysis, Heating poverty, Air pollution, Health",Heating and Cooling;Buildings,cities in Beijing-Tianjin-Hebei (China),State/Region;City/Municipality;Households/Prosumers,Present (eg. status quo assessment),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,Yes,City/Rural households;Income,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
89,thermal comfort,10.1016/j.enpol.2021.112265,"Sustainable heating, Social acceptance, Value conflicts, Value change, Agent-based modelling, Scenario discovery",Heating and Cooling,Hague (Netherlands),Continent/Union;City/Municipality;heating initiative in a city districtnamed ,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,Yes,City/Rural households;Houseownership and rent;Building conditions;Number of household members;Income;heat consumption,"STORYBUILDING/NARRATIV: Detailed descriptions of energy futures (with an own methodology-section, based on theories, stakeholder WS). Can turn into scenarios by translating them into a problem that can be solved with a model.;SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Distributional-Justice, Recognition-Justice"
90,affordability,10.1016/j.enpol.2021.112265,"Sustainable heating, Social acceptance, Value conflicts, Value change, Agent-based modelling, Scenario discovery",Heating and Cooling,Hague (Netherlands),Continent/Union;City/Municipality;heating initiative in a city districtnamed ,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,Yes,City/Rural households;Houseownership and rent;Building conditions;Number of household members;Income;heat consumption,"STORYBUILDING/NARRATIV: Detailed descriptions of energy futures (with an own methodology-section, based on theories, stakeholder WS). Can turn into scenarios by translating them into a problem that can be solved with a model.;SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Distributional-Justice, Recognition-Justice"
91,environmental sustainability,10.1016/j.enpol.2021.112265,"Sustainable heating, Social acceptance, Value conflicts, Value change, Agent-based modelling, Scenario discovery",Heating and Cooling,Hague (Netherlands),Continent/Union;City/Municipality;heating initiative in a city districtnamed ,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,Yes,City/Rural households;Houseownership and rent;Building conditions;Number of household members;Income;heat consumption,"STORYBUILDING/NARRATIV: Detailed descriptions of energy futures (with an own methodology-section, based on theories, stakeholder WS). Can turn into scenarios by translating them into a problem that can be solved with a model.;SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Distributional-Justice, Recognition-Justice"
92,autonomy,10.1016/j.enpol.2021.112265,"Sustainable heating, Social acceptance, Value conflicts, Value change, Agent-based modelling, Scenario discovery",Heating and Cooling,Hague (Netherlands),Continent/Union;City/Municipality;heating initiative in a city districtnamed ,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,Yes,City/Rural households;Houseownership and rent;Building conditions;Number of household members;Income;heat consumption,"STORYBUILDING/NARRATIV: Detailed descriptions of energy futures (with an own methodology-section, based on theories, stakeholder WS). Can turn into scenarios by translating them into a problem that can be solved with a model.;SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Distributional-Justice, Recognition-Justice"
93,inclusiveness,10.1016/j.enpol.2021.112265,"Sustainable heating, Social acceptance, Value conflicts, Value change, Agent-based modelling, Scenario discovery",Heating and Cooling,Hague (Netherlands),Continent/Union;City/Municipality;heating initiative in a city districtnamed ,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,Yes,City/Rural households;Houseownership and rent;Building conditions;Number of household members;Income;heat consumption,"STORYBUILDING/NARRATIV: Detailed descriptions of energy futures (with an own methodology-section, based on theories, stakeholder WS). Can turn into scenarios by translating them into a problem that can be solved with a model.;SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Distributional-Justice, Recognition-Justice"
94,neighbourhood asset score (nas),10.1080/13549839.2021.1916899,"Environmental justice, cumulative impact, social vulnerability, energy poverty, asset-based community development",Heating and Cooling;CO2 Emissions;Mobility and Transport,"Phoenix, Arizona (U.S.A)",City/Municipality,Present (eg. status quo assessment),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,"Communters;Age;Income;Race;High School degree, Households with no vehicle","SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Distributional-Justice, Recognition-Justice"
95,neighbourhood deficit score,10.1080/13549839.2021.1916899,"Environmental justice, cumulative impact, social vulnerability, energy poverty, asset-based community development",Heating and Cooling;CO2 Emissions;Mobility and Transport,"Phoenix, Arizona (U.S.A)",City/Municipality,Present (eg. status quo assessment),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,"Communters;Age;Income;Race;High School degree, Households with no vehicle","SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,"Distributional-Justice, Recognition-Justice"
